,티커,종목명
1075,178320,서진시스템
1076,122690,서진오토모티브
1077,140070,서플러스글로벌
1078,011370,서한
1079,065710,서호전기
1080,008490,서흥
1081,035890,서희건설
1082,357550,석경에이티
1083,003100,선광
1084,007610,선도전기
1085,067370,선바이오
1086,171090,선익시스템
1087,136490,선진
1088,086710,선진뷰티사이언스
1089,014620,성광벤드
1090,037350,성도이엔지
1091,014910,성문전자
1092,014915,성문전자우
1093,003080,성보화학
1094,004980,성신양회
1095,004985,성신양회우
1096,011300,성안
1097,081580,성우전자
1098,045300,성우테크론
1099,015750,성우하이텍
1100,365340,성일하이텍
1101,000180,성창기업지주
1102,080470,성창오토텍
1103,043260,성호전자
1104,148150,세경하이테크
1105,002420,세기상사
1106,053060,세동
1107,340440,세림B&G
1108,017510,세명전기
1109,004360,세방
1110,004365,세방우
1111,004490,세방전지
1112,011560,세보엠이씨
1113,396300,세아메카닉스
1114,001430,세아베스틸지주
1115,306200,세아제강
1116,003030,세아제강지주
1117,019440,세아특수강
1118,058650,세아홀딩스
1119,013000,세우글로벌
1120,100700,세운메디칼
1121,024830,세원물산
1122,091090,세원이앤씨
1123,021820,세원정공
1124,067830,세이브존I&C
1125,033530,세종공업
1126,258830,세종메디칼
1127,036630,세종텔레콤
1128,039310,세중
1129,075580,세진중공업
1130,067770,세진티에스
1131,053450,세코닉스
1132,222810,세토피아
1133,027970,세하
1134,252500,세화피앤씨
1135,347000,센코
1136,308170,센트랄모텍
1137,012600,센트럴인사이트
1138,331920,셀레믹스
1139,049180,셀루메드
1140,299660,셀리드
1141,268600,셀리버리
1142,108860,셀바스AI
1143,208370,셀바스헬스케어
1144,258250,셀젠텍
1145,068270,셀트리온
1146,068760,셀트리온제약
1147,091990,셀트리온헬스케어
1148,060230,소니드
1149,290690,소룩스
1150,053110,소리바다
1151,950200,소마젠
1152,032680,소프트센
1153,032685,소프트센우
1154,258790,소프트캠프
1155,066910,손오공
1156,043100,솔고바이오
1157,336370,솔루스첨단소재
1158,33637K,솔루스첨단소재1우
1159,33637L,솔루스첨단소재2우B
1160,154040,솔루에타
1161,248070,솔루엠
1162,035610,솔본
1163,357780,솔브레인
1164,036830,솔브레인홀딩스
1165,304100,솔트룩스
1166,328380,솔트웨어
1167,004430,송원산업
1168,086980,쇼박스
1169,050960,수산아이앤티
1170,126720,수산인더스트리
1171,017550,수산중공업
1172,253840,수젠텍
1173,185190,수프로
1174,236200,슈프리마
1175,317770,슈프리마아이디
1176,094840,슈프리마에이치큐
1177,192440,슈피겐코리아
1178,136510,스마트솔루션즈
1179,099440,스맥
1180,053210,스카이라이프
1181,033790,스카이문스테크놀로지
1182,131100,스카이이앤엠
1183,276040,스코넥
1184,159910,스킨앤스킨
1185,115570,스타플렉스
1186,258540,스템랩
1187,330730,스톤브릿지벤처스
1188,253450,스튜디오드래곤
1189,204630,스튜디오산타클로스
1190,026890,스틱인베스트먼트
1191,013810,스페코
1192,049830,승일
