rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20180330002417,11011,2017,00125080,006840,OFS,재무제표,IS,손익계산서,영업이익,제 48 기,2017.01.01 ~ 2017.12.31,"18,153,119,531",제 47 기,2016.01.01 ~ 2016.12.31,"14,466,551,306",제 46 기,2015.01.01 ~ 2015.12.31,"12,064,381,782",26,KRW
20180330002417,11011,2017,00125080,006840,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 48 기,2017.01.01 ~ 2017.12.31,"17,103,790,897",제 47 기,2016.01.01 ~ 2016.12.31,"13,200,877,482",제 46 기,2015.01.01 ~ 2015.12.31,"23,667,736,529",28,KRW
20180330002417,11011,2017,00125080,006840,OFS,재무제표,IS,손익계산서,당기순이익,제 48 기,2017.01.01 ~ 2017.12.31,"17,112,876,813",제 47 기,2016.01.01 ~ 2016.12.31,"13,180,700,699",제 46 기,2015.01.01 ~ 2015.12.31,"21,822,774,499",30,KRW
20180402004758,11011,2017,00296078,054620,CFS,연결재무제표,BS,재무상태표,유동자산,제 22 기,2017.12.31 현재,"83,530,217,742",제 21 기,2016.12.31 현재,"355,280,215,005",제 20 기,2015.12.31 현재,"151,996,284,451",1,KRW
20180402004758,11011,2017,00296078,054620,CFS,연결재무제표,BS,재무상태표,비유동자산,제 22 기,2017.12.31 현재,"148,252,752,864",제 21 기,2016.12.31 현재,"210,944,530,956",제 20 기,2015.12.31 현재,"146,969,324,686",3,KRW
20180402004758,11011,2017,00296078,054620,CFS,연결재무제표,BS,재무상태표,자산총계,제 22 기,2017.12.31 현재,"231,782,970,606",제 21 기,2016.12.31 현재,"566,224,745,961",제 20 기,2015.12.31 현재,"298,965,609,137",5,KRW
20180402004758,11011,2017,00296078,054620,CFS,연결재무제표,BS,재무상태표,유동부채,제 22 기,2017.12.31 현재,"21,478,412,654",제 21 기,2016.12.31 현재,"295,503,322,730",제 20 기,2015.12.31 현재,"157,801,626,340",7,KRW
20180402004758,11011,2017,00296078,054620,CFS,연결재무제표,BS,재무상태표,비유동부채,제 22 기,2017.12.31 현재,"27,028,376,094",제 21 기,2016.12.31 현재,"63,766,572,162",제 20 기,2015.12.31 현재,"31,538,685,932",9,KRW
20180402004758,11011,2017,00296078,054620,CFS,연결재무제표,BS,재무상태표,부채총계,제 22 기,2017.12.31 현재,"48,506,788,748",제 21 기,2016.12.31 현재,"359,269,894,892",제 20 기,2015.12.31 현재,"189,340,312,272",11,KRW
20180402004758,11011,2017,00296078,054620,CFS,연결재무제표,BS,재무상태표,자본금,제 22 기,2017.12.31 현재,"6,664,270,000",제 21 기,2016.12.31 현재,"14,304,980,500",제 20 기,2015.12.31 현재,"11,704,980,500",13,KRW
